Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
Taiwan,2006,6.189050197601318,10.601690292358398,0.882246196269989,68.68000030517578,0.6299096345901489,-0.03138870373368263,0.8458498120307922,0.6825157999992371,0.09431612491607666,0.2779352068901062
Taiwan,2008,5.547682285308838,10.600387573242188,0.8300049901008606,69.13999938964844,0.6417153477668762,-0.018701381981372833,0.7848318219184875,0.6820181608200073,0.16915689408779144,0.41673243045806885
Taiwan,2010,6.2285308837890625,10.680940628051758,0.8314129114151001,69.5999984741211,0.6765872836112976,0.0029887466225773096,0.82136470079422,0.7381642460823059,0.13586734235286713,0.43302619457244873
Taiwan,2011,6.308915138244629,10.693416595458984,0.8625207543373108,,0.7614881992340088,0.03363600745797157,0.7545843124389648,0.727105975151062,0.11228808760643005,0.47206684947013855
Taiwan,2012,6.125916957855225,10.717881202697754,0.8250724077224731,,0.6981951594352722,0.019109800457954407,0.8028291463851929,0.701637327671051,0.140010803937912,0.33514150977134705
Taiwan,2013,6.340344429016113,10.723531723022461,0.8169928789138794,,0.6900708675384521,0.0009117763838730752,0.8412318825721741,0.7544782161712646,0.12444483488798141,0.26449939608573914
Taiwan,2014,6.363496780395508,10.749410629272461,0.8700118660926819,,0.692899763584137,0.09291832894086838,0.8657405972480774,0.7673701047897339,0.10836613923311234,0.2707231044769287
Taiwan,2015,6.450088024139404,10.778759956359863,0.8853888511657715,,0.7008104920387268,0.020642993971705437,0.8571948409080505,0.7503576874732971,0.12934869527816772,0.2702596187591553
Taiwan,2016,6.512850761413574,10.768047332763672,0.8949892520904541,,0.7189251780509949,-0.045144885778427124,0.8105210065841675,0.742680013179779,0.1083054170012474,0.40471333265304565
Taiwan,2017,6.359450817108154,10.774065971374512,0.891119122505188,,0.7596547603607178,-0.06612317264080048,0.7427800893783569,0.7153031826019287,0.1141231581568718,0.3228223919868469
Taiwan,2018,6.467004776000977,10.780801773071289,0.8964587450027466,,0.7410327792167664,-0.17520639300346375,0.7359707355499268,0.7459191679954529,0.09269564598798752,0.31172293424606323
Taiwan,2019,6.537089824676514,10.797459602355957,0.8934305906295776,,0.8144844770431519,-0.12721814215183258,0.7181123495101929,0.762097179889679,0.093412384390831,0.43149495124816895
Taiwan,2020,6.751067638397217,,0.9008325338363647,,0.7988347411155701,,0.7105674147605896,0.7431688904762268,0.08273695409297943,0.5797269344329834
Taiwan,2021,6.246744155883789,,0.8662975430488586,,0.818467378616333,,0.675438642501831,0.6674166321754456,0.12297951430082321,0.437147855758667
