Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
Laos,2006,5.076225757598877,8.250722885131836,0.8069870471954346,55.880001068115234,0.9250821471214294,0.439035564661026,0.6878142356872559,0.7895117402076721,0.16268469393253326,0.9232471585273743
Laos,2007,5.363854885101318,8.307172775268555,0.7896206974983215,56.2599983215332,0.866524875164032,0.47782468795776367,0.5800670981407166,0.7516330480575562,0.1356714516878128,0.9141461849212646
Laos,2008,5.044098854064941,8.365551948547363,0.8070862293243408,56.63999938964844,0.8862138986587524,0.4159199297428131,0.6374093294143677,0.7278749346733093,0.20175497233867645,0.923685610294342
Laos,2011,4.703749656677246,8.548465728759766,0.6908777952194214,57.779998779296875,0.8816338181495667,0.458134263753891,0.587321937084198,0.7462398409843445,0.22527849674224854,0.9818035960197449
Laos,2012,4.876084804534912,8.610508918762207,0.6926279067993164,58.15999984741211,,0.2315918505191803,,0.7405874133110046,0.3866792321205139,
Laos,2017,4.623140811920166,8.889833450317383,0.7073357701301575,59.900001525878906,0.8910007476806641,0.07233402878046036,0.5916168093681335,0.7123082280158997,0.3442258834838867,0.8399350047111511
Laos,2018,4.859402179718018,8.934959411621094,0.7047381401062012,60.20000076293945,0.9066609740257263,0.1403244137763977,0.6342398524284363,0.7106564044952393,0.331882506608963,
Laos,2019,5.1968560218811035,8.97292709350586,0.7294439077377319,60.5,0.9061534404754639,0.059676967561244965,0.6202337145805359,0.7183997631072998,0.30614426732063293,
Laos,2020,5.284390926361084,8.96325397491455,0.6603962779045105,60.79999923706055,0.9150282144546509,0.14034701883792877,0.7479977011680603,0.7137534022331238,0.3583492636680603,
Laos,2021,4.9265217781066895,8.970429420471191,0.6498932838439941,61.099998474121094,0.9270414710044861,0.04192868247628212,0.6680314540863037,0.7021530866622925,0.2916776239871979,
