Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
Slovakia,2006,5.264676570892334,9.988945960998535,0.9535792469978333,65.62000274658203,0.5424796938896179,-0.04963216558098793,0.9457312822341919,0.5859771966934204,0.3078590929508209,0.16307923197746277
Slovakia,2010,6.052223205566406,10.147560119628906,0.9196400046348572,66.5,0.6357576847076416,-0.10162170976400375,0.9071360230445862,0.6029894948005676,0.27720674872398376,0.3086795210838318
Slovakia,2011,5.9450483322143555,10.172303199768066,0.9172934293746948,66.72000122070312,0.7271631360054016,0.009746220894157887,0.9071323275566101,0.5882511734962463,0.28740957379341125,0.27872389554977417
Slovakia,2012,5.911059379577637,10.18409252166748,0.9257514476776123,66.94000244140625,0.6200042963027954,-0.0280084777623415,0.9065321683883667,0.5848568081855774,0.3022608160972595,0.3683801591396332
Slovakia,2013,5.936527252197266,10.189543724060059,0.9093785285949707,67.16000366210938,0.5979357957839966,-0.050859756767749786,0.9145399332046509,0.6120620369911194,0.276509553194046,0.2834932208061218
Slovakia,2014,6.138873100280762,10.215453147888184,0.9242426753044128,67.37999725341797,0.6347917318344116,-0.1255931556224823,0.9138702154159546,0.6187864542007446,0.2667846083641052,0.31018149852752686
Slovakia,2015,6.162004470825195,10.265344619750977,0.9434536695480347,67.5999984741211,0.587157666683197,-0.12812137603759766,0.9275451302528381,0.6321669220924377,0.2692464292049408,0.2765306830406189
Slovakia,2016,5.993163108825684,10.283187866210938,0.9451791048049927,67.82499694824219,0.7000985145568848,-0.060783516615629196,0.9166091680526733,0.6882962584495544,0.23209157586097717,0.3722221553325653
Slovakia,2017,6.365509033203125,10.311001777648926,0.9133866429328918,68.05000305175781,0.7142246961593628,-0.05463995784521103,0.9204226732254028,0.7093856334686279,0.21272248029708862,0.3416800796985626
Slovakia,2018,6.235110759735107,10.346858978271484,0.9223787188529968,68.2750015258789,0.7576340436935425,-0.16749346256256104,0.9099446535110474,0.6697362661361694,0.2531900405883789,0.32765862345695496
Slovakia,2019,6.243428707122803,10.37122631072998,0.9330883026123047,68.5,0.7711215615272522,-0.12927666306495667,0.9258466958999634,0.6761534214019775,0.2518063187599182,0.23097282648086548
Slovakia,2020,6.519098281860352,10.325801849365234,0.9541599750518799,68.7249984741211,0.7618966102600098,-0.07659240067005157,0.9005336761474609,0.6945299506187439,0.27444788813591003,0.3074445128440857
Slovakia,2021,6.418503761291504,10.356863975524902,0.9511638879776001,68.94999694824219,0.7415332198143005,0.04863395541906357,0.895546555519104,0.6915675401687622,0.24113132059574127,0.21580758690834045
