Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
Norway,2006,7.415682315826416,11.048458099365234,0.9585112929344177,69.4000015258789,0.9595327377319336,0.10446076095104218,0.3971501290798187,0.7669673562049866,0.19711318612098694,0.6827172040939331
Norway,2008,7.632287502288818,11.05990219116211,0.9358789324760437,69.80000305175781,0.9472888708114624,0.013694154098629951,0.5027763247489929,0.7630179524421692,0.1550952047109604,0.5407599806785583
Norway,2012,7.678277015686035,11.03473949432373,0.9476574063301086,70.5999984741211,0.9465658664703369,0.14311283826828003,0.3680426776409149,0.7984911799430847,0.2128211110830307,0.6633405089378357
Norway,2014,7.4444708824157715,11.041162490844727,0.9411619305610657,71.0,0.9563161730766296,0.17693065106868744,0.4048258364200592,0.802207887172699,0.19435493648052216,0.6996905207633972
Norway,2015,7.603433609008789,11.050692558288574,0.9468339681625366,71.19999694824219,0.9476205110549927,0.252846896648407,0.2988143563270569,0.7963209748268127,0.20940987765789032,0.5868716239929199
Norway,2016,7.596331596374512,11.05254077911377,0.9597428441047668,71.25,0.9543523192405701,0.12880650162696838,0.40966612100601196,0.8094301819801331,0.2092621922492981,0.6576462388038635
Norway,2017,7.578744888305664,11.067431449890137,0.9501276612281799,71.30000305175781,0.9530168175697327,0.23231972754001617,0.24971137940883636,0.8001062273979187,0.2029138058423996,0.7171597480773926
Norway,2018,7.4442620277404785,11.071956634521484,0.9659619331359863,71.3499984741211,0.9604290127754211,0.09010472148656845,0.26820144057273865,0.7856070399284363,0.21186237037181854,0.6795029640197754
Norway,2019,7.442139625549316,11.073688507080078,0.9417840242385864,71.4000015258789,0.9540444612503052,0.10694552958011627,0.2705717980861664,0.7817274332046509,0.19548650085926056,0.5979869961738586
Norway,2020,7.290032386779785,11.060112953186035,0.9559799432754517,71.44999694824219,0.9645611047744751,0.07105181366205215,0.2710832953453064,0.7772747278213501,0.2160339206457138,0.8292341828346252
Norway,2021,7.361573696136475,11.094626426696777,0.9478774070739746,71.5,0.9363791942596436,0.169224351644516,0.26327696442604065,0.7694335579872131,0.20719704031944275,0.773523211479187
