Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
France,2005,7.093392848968506,10.63691234588623,0.9403382539749146,70.69999694824219,0.8948192596435547,,0.687850832939148,0.6812777519226074,0.22509419918060303,0.32488352060317993
France,2006,6.582700252532959,10.654138565063477,0.9439290761947632,70.80000305175781,0.7891207337379456,0.12395137548446655,0.6992701292037964,0.6942463517189026,0.2886824309825897,0.36135292053222656
France,2008,7.0080647468566895,10.668867111206055,0.9353505969047546,71.0,0.8333271145820618,-0.033128537237644196,0.6688758134841919,0.7023715972900391,0.2806192934513092,0.45265939831733704
France,2009,6.283498287200928,10.634568214416504,0.9181585311889648,71.0999984741211,0.7982131838798523,-0.08397074788808823,0.6541681885719299,0.6910476684570312,0.30336660146713257,0.47444888949394226
France,2010,6.797901153564453,10.648934364318848,0.9429547786712646,71.19999694824219,0.8497021794319153,-0.10560145229101181,0.622954249382019,0.728971004486084,0.26056811213493347,0.4014662206172943
France,2011,6.9591851234436035,10.665787696838379,0.9212855696678162,71.30000305175781,0.9033666253089905,-0.1045496016740799,0.6266245245933533,0.7183658480644226,0.2809947729110718,0.37508925795555115
France,2012,6.649365425109863,10.664074897766113,0.937097430229187,71.4000015258789,0.8413203358650208,-0.15116795897483826,0.6079052686691284,0.7054621577262878,0.2529880106449127,0.4406253397464752
France,2013,6.667121410369873,10.664673805236816,0.9076908230781555,71.5,0.8777957558631897,-0.12661771476268768,0.6990693807601929,0.7410864233970642,0.20496968924999237,0.3951305150985718
France,2014,6.466867923736572,10.669452667236328,0.8775045275688171,71.5999984741211,0.8034741878509521,-0.12020432949066162,0.6556374430656433,0.7586711049079895,0.21589383482933044,0.2638017237186432
France,2015,6.3576250076293945,10.67696475982666,0.8957194089889526,71.69999694824219,0.8170362114906311,-0.1413859874010086,0.6406020522117615,0.7404272556304932,0.21540027856826782,0.3282527029514313
France,2016,6.475208759307861,10.685220718383789,0.8849229216575623,71.80000305175781,0.7867804765701294,-0.09340958297252655,0.6226970553398132,0.7149360775947571,0.2700362503528595,0.2839781641960144
France,2017,6.635222434997559,10.704975128173828,0.9314945936203003,71.9000015258789,0.8338901400566101,-0.12551738321781158,0.6014860272407532,0.7158063054084778,0.24198393523693085,0.37479352951049805
France,2018,6.665903568267822,10.720708847045898,0.9214630722999573,72.0,0.8163772225379944,-0.13993696868419647,0.5817753076553345,0.7053083777427673,0.2824513614177704,0.380547434091568
France,2019,6.6896443367004395,10.736783027648926,0.9583480954170227,72.0999984741211,0.8272408246994019,-0.13542158901691437,0.5682722926139832,0.692844808101654,0.25041553378105164,0.3818492293357849
France,2020,6.714111804962158,10.652853965759277,0.9473540186882019,72.19999694824219,0.8233863115310669,-0.17207714915275574,0.5646405816078186,0.6896242499351501,0.23095043003559113,0.4104066491127014
France,2021,6.6562066078186035,10.71656608581543,0.9145975112915039,72.30000305175781,0.8369176983833313,-0.10071982443332672,0.5608129501342773,0.6846013069152832,0.26841744780540466,0.43352049589157104
