Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
Germany,2005,6.619549751281738,10.690792083740234,0.96349036693573,69.9000015258789,0.8466237783432007,,0.7810068130493164,0.6847646236419678,0.1972624808549881,0.32175880670547485
Germany,2007,6.4168195724487305,10.760041236877441,0.9259375929832458,69.94000244140625,0.8008782267570496,0.16443166136741638,0.7921794056892395,0.646914541721344,0.23081189393997192,0.34976544976234436
Germany,2008,6.521790027618408,10.771495819091797,0.9232113361358643,69.95999908447266,0.7655569911003113,,0.7582661509513855,0.6721312403678894,0.22000038623809814,0.35791829228401184
Germany,2009,6.641493320465088,10.715405464172363,0.9347823262214661,69.9800033569336,0.843784511089325,0.1246391087770462,0.6899307370185852,0.6843588948249817,0.20644472539424896,0.5192309021949768
Germany,2010,6.724531173706055,10.75788688659668,0.9393086433410645,70.0,0.8426564335823059,0.09249673038721085,0.6880059838294983,0.6975303888320923,0.18234413862228394,0.3954240083694458
Germany,2011,6.621312141418457,10.814925193786621,0.9472366571426392,70.0199966430664,0.9062932729721069,0.0302391666918993,0.6771721243858337,0.6857212781906128,0.16519953310489655,0.4245831370353699
Germany,2012,6.702362060546875,10.81722354888916,0.9264066219329834,70.04000091552734,0.9044404625892639,0.0683264210820198,0.6792367100715637,0.6990493535995483,0.16957616806030273,0.5169281959533691
Germany,2013,6.96512508392334,10.81886100769043,0.9314205646514893,70.05999755859375,0.8943129777908325,0.021607108414173126,0.5657942295074463,0.6931337714195251,0.20499591529369354,0.5577606558799744
Germany,2014,6.9842143058776855,10.8365478515625,0.9375589489936829,70.08000183105469,0.8986834287643433,0.08517104387283325,0.47395291924476624,0.7389421463012695,0.1878448724746704,0.6013688445091248
Germany,2015,7.037137508392334,10.84269905090332,0.925923228263855,70.0999984741211,0.8894288539886475,0.17508050799369812,0.4121682941913605,0.7223848104476929,0.20270515978336334,0.6280036568641663
Germany,2016,6.873763084411621,10.856682777404785,0.9060292840003967,70.30000305175781,0.8705150485038757,0.1457333266735077,0.4459221363067627,0.7093761563301086,0.18725493550300598,0.5526135563850403
Germany,2017,7.074324607849121,10.87939453125,0.8921660780906677,70.5,0.8407278656959534,0.14241330325603485,0.41402119398117065,0.7071136832237244,0.19643481075763702,0.6229356527328491
Germany,2018,7.118364334106445,10.887190818786621,0.9197631478309631,70.69999694824219,0.8768875002861023,0.03152601420879364,0.4956739544868469,0.7401749491691589,0.24321457743644714,0.5929905772209167
Germany,2019,7.035472393035889,10.895435333251953,0.8856673240661621,70.9000015258789,0.884751558303833,0.054287467151880264,0.4622551500797272,0.7124611139297485,0.22617121040821075,0.5684604048728943
Germany,2020,7.3118977546691895,10.846887588500977,0.9050804972648621,71.0999984741211,0.8643560409545898,-0.063618965446949,0.4240887761116028,0.6982660889625549,0.20592711865901947,0.6540631055831909
Germany,2021,6.754523754119873,10.873412132263184,0.8675825595855713,71.30000305175781,0.778439998626709,0.07768628001213074,0.4175819158554077,0.7033330202102661,0.25119468569755554,0.604759931564331
